text,intent
"I am worried because I lost my source of income",JOB_LOSS
"My company terminated my job",JOB_LOSS
"I may lose my job soon",JOB_LOSS
"I need a financial plan after losing my job",JOB_LOSS
"I was fired from my job",JOB_LOSS
"I am currently unemployed",JOB_LOSS
"I lost my source of income",JOB_LOSS
"My employment ended suddenly",JOB_LOSS
"I have been laid off",JOB_LOSS
"I don't have a job anymore",JOB_LOSS
"My company let me go",JOB_LOSS
"I am facing a sudden loss of income",JOB_LOSS
"I am worried about losing my job",JOB_LOSS
"I may become unemployed",JOB_LOSS
"My salary has stopped because I lost my job",JOB_LOSS
"I need help managing finances after job loss",JOB_LOSS
"How should I manage money after losing my job",JOB_LOSS
"I need a financial safety plan after unemployment",JOB_LOSS
"I have no salary right now",JOB_LOSS
"I lost my employment",JOB_LOSS
"I am between jobs and have no income",JOB_LOSS
"My income suddenly stopped",JOB_LOSS
"I need financial help after being laid off",JOB_LOSS
"I need to manage my expenses without a job",JOB_LOSS
"I am facing unemployment",JOB_LOSS
"I need an emergency financial plan after losing work",JOB_LOSS

"I have a medical emergency",MEDICAL
"I need money for hospital expenses",MEDICAL
"My medical bills are very high",MEDICAL
"I suddenly need money for treatment",MEDICAL
"My family member needs urgent medical treatment",MEDICAL
"I need financial help for healthcare expenses",MEDICAL
"I have an unexpected hospital bill",MEDICAL
"I need to pay for surgery",MEDICAL
"I need money for medical treatment",MEDICAL
"My hospital expenses are increasing",MEDICAL
"I have a sudden healthcare expense",MEDICAL
"My mother needs urgent medical treatment",MEDICAL
"My father has a medical emergency",MEDICAL
"I need funds for hospital treatment",MEDICAL
"I have to pay a large medical bill",MEDICAL
"I need money for surgery",MEDICAL
"I need help managing medical expenses",MEDICAL
"My family has an unexpected medical expense",MEDICAL
"I am worried about hospital costs",MEDICAL
"I need financial planning for healthcare expenses",MEDICAL
"My treatment is very expensive",MEDICAL
"I need to arrange money for medical treatment",MEDICAL
"I have an urgent healthcare bill",MEDICAL
"I need funds for an operation",MEDICAL
"My child's medical treatment is expensive",MEDICAL
"I need money for emergency healthcare",MEDICAL
"I have unexpected surgery expenses",MEDICAL
"I need to manage a large hospital bill",MEDICAL
"I need financial help for a medical emergency",MEDICAL
"How will medical expenses affect my savings",MEDICAL

"My car suddenly needs expensive repairs",EXPENSE
"I have an unexpected expense",EXPENSE
"I need money for an emergency expense",EXPENSE
"My expenses suddenly increased",EXPENSE
"I have a large unexpected bill",EXPENSE
"I need funds for an urgent expense",EXPENSE
"Something unexpected happened and I need money",EXPENSE
"I have a sudden financial expense",EXPENSE
"My car repair is unexpectedly expensive",EXPENSE
"I have an urgent bill to pay",EXPENSE
"I suddenly have a large expense",EXPENSE
"I need money for an unexpected bill",EXPENSE
"My household expenses increased suddenly",EXPENSE
"I have an emergency financial expense",EXPENSE
"I need funds for an unexpected payment",EXPENSE
"An unexpected bill has come up",EXPENSE
"I need to pay for urgent repairs",EXPENSE
"My expenses are higher than expected",EXPENSE
"I have a sudden financial burden",EXPENSE
"I need help managing an unexpected expense",EXPENSE
"My vehicle needs expensive repairs",EXPENSE
"I have an unexpected home repair bill",EXPENSE
"I suddenly need money for repairs",EXPENSE
"I have an urgent expense this month",EXPENSE
"I need financial help for a sudden expense",EXPENSE
"My monthly expenses have suddenly increased",EXPENSE
"I have an unexpected payment to make",EXPENSE
"I need to cover a large emergency bill",EXPENSE
"Something unexpected caused a financial expense",EXPENSE
"I need money because of a sudden expense",EXPENSE
